Order_ID,Order_Date,Customer_Name,Category,Product,Region,Quantity,Sales,Discount,Profit,Month
ORD0129,2025-04-27,Neha,Furniture,Desk,West,4,19256,0.02,1576.23,2025-04
ORD0130,2024-06-20,Ravi,Furniture,Bookcase,West,1,2397,0.2,350.4,2024-06
ORD0131,2024-01-24,Pooja,Furniture,Bookcase,West,8,22864,0.14,4372.13,2024-01
ORD0132,2024-04-05,sravan,Furniture,Desk,North,3,14196,0.04,1713.3,2024-04
ORD0133,2025-01-24,srujan,Technology,Keyboard,South,7,32620,0.09,5085.85,2025-01
ORD0134,2024-12-20,shyam,Furniture,Desk,South,7,4361,0.29,560.68,2024-12
ORD0135,2025-07-11,shyam,Furniture,Bookcase,East,2,4310,0.22,795.47,2025-07
ORD0136,2024-08-12,srujan,Office Supplies,Paper,West,4,12428,0.07,2077.5,2024-08
ORD0137,2024-05-26,manoj,Office Supplies,Stapler,North,6,18834,0.2,3542.16,2024-05
ORD0138,2024-12-09,manoj,Technology,Mobile Phone,West,1,2903,0.05,423.66,2024-12
ORD0139,2024-08-06,koushik,Office Supplies,Stapler,East,6,13056,0.24,654.02,2024-08
ORD0140,2025-01-10,koushik,Technology,Printer,South,1,4730,0.09,665.26,2025-01
ORD0141,2024-08-14,Ravi,Furniture,Table,West,9,13068,0.21,1022.33,2024-08
ORD0142,2024-04-17,Neha,Technology,Laptop,West,3,1248,0.03,65.47,2024-04
ORD0143,2025-12-29,srujan,Technology,Keyboard,North,4,18620,0.1,2165.59,2025-12
ORD0144,2024-04-03,Ananya,Furniture,Sofa,West,10,8510,0.19,735.29,2024-04
ORD0145,2024-09-27,shyam,Technology,Printer,East,10,38380,0.29,5349.5,2024-09
ORD0146,2025-07-31,Gnaneswara,Office Supplies,File Folder,South,9,32445,0.02,4855.45,2025-07
ORD0147,2025-04-04,Neha,Technology,Keyboard,East,7,30765,0.08,5019.86,2025-04
ORD0148,2025-09-08,Ravi,Technology,Printer,North,10,40460,0.1,5408.91,2025-09
ORD0149,2025-05-31,Gnaneswara,Office Supplies,Paper,North,2,4224,0.18,638.19,2025-05
ORD0150,2025-05-27,shyam,Furniture,Chair,East,6,23604,0.04,5025.79,2025-05
ORD0151,2024-05-14,Ravi,Furniture,Chair,West,5,15285,0.16,1293.96,2024-05
ORD0152,2025-07-17,srujan,Office Supplies,Notebook,South,8,28512,0.08,5026.38,2025-07
ORD0153,2025-07-22,Ananya,Technology,Mobile Phone,West,3,4263,0.16,866.52,2025-07
ORD0154,2024-10-30,manoj,Furniture,Bookcase,South,10,42390,0.08,9424.37,2024-10
ORD0155,2024-03-18,Neha,Technology,Monitor,North,3,7911,0.05,981.49,2024-03
ORD0156,2025-08-12,Pooja,Office Supplies,Stapler,West,4,1324,0.17,197.43,2025-08
ORD0157,2025-09-16,shyam,Office Supplies,Stapler,East,9,11475,0.15,722.05,2025-09
ORD0158,2024-11-16,srujan,Furniture,Desk,South,3,6660,0.28,1000.18,2024-11
ORD0159,2025-02-14,Neha,Technology,Laptop,North,10,40550,0.17,6433.71,2025-02
ORD0160,2024-07-18,Neha,Office Supplies,Notebook,West,9,38403,0.0,6366.85,2024-07
ORD0161,2025-08-04,srujan,Furniture,Table,North,3,11868,0.16,1535.77,2025-08
ORD0162,2024-04-02,Ravi,Furniture,Sofa,East,1,4569,0.05,347.62,2024-04
ORD0163,2024-03-04,Ravi,Technology,Monitor,South,1,3491,0.21,476.08,2024-03
ORD0164,2024-09-18,srujan,Furniture,Bookcase,West,4,9376,0.16,1409.7,2024-09
ORD0165,2025-01-06,Ravi,Office Supplies,Paper,South,4,14200,0.05,2988.82,2025-01
ORD0166,2025-02-11,Gnaneswara,Office Supplies,Pen,East,1,3870,0.19,706.2,2025-02
ORD0167,2024-10-18,Pooja,Technology,Mobile Phone,North,4,4472,0.23,603.53,2024-10
ORD0168,2024-05-17,Neha,Technology,Monitor,West,5,3145,0.18,414.97,2024-05
ORD0169,2025-07-30,srujan,Office Supplies,Pen,North,7,29974,0.2,2860.0,2025-07
ORD0170,2025-07-18,Ravi,Technology,Monitor,North,3,12447,0.07,750.63,2025-07
ORD0171,2024-07-31,Pooja,Furniture,Bookcase,North,7,28098,0.14,2406.22,2024-07
ORD0172,2024-11-14,shyam,Office Supplies,Stapler,North,8,18920,0.02,3881.52,2024-11
ORD0173,2025-06-07,Pooja,Technology,Mobile Phone,South,8,15416,0.12,1504.03,2025-06
ORD0174,2025-11-22,Ravi,Technology,Printer,East,2,7004,0.22,503.58,2025-11
ORD0175,2024-11-06,Gnaneswara,Furniture,Sofa,West,4,16332,0.18,1520.74,2024-11
ORD0176,2024-02-05,Gnaneswara,Technology,Mobile Phone,East,8,18808,0.03,2619.88,2024-02
ORD0177,2025-11-14,Ananya,Office Supplies,Notebook,West,1,4678,0.05,356.43,2025-11
ORD0178,2025-10-19,srujan,Office Supplies,Pen,West,6,12702,0.13,1935.67,2025-10
ORD0179,2025-12-04,sravan,Office Supplies,File Folder,West,9,41031,0.24,5581.1,2025-12
ORD0180,2024-10-04,koushik,Office Supplies,Notebook,North,6,2208,0.3,153.15,2024-10
ORD0181,2024-09-23,Pooja,Office Supplies,Stapler,West,7,15316,0.19,1987.6,2024-09
ORD0182,2024-07-07,Ravi,Furniture,Table,South,7,11991,0.28,1874.44,2024-07
ORD0183,2024-01-11,Ananya,Furniture,Sofa,South,8,36168,0.23,6412.5,2024-01
ORD0184,2024-02-03,Pooja,Technology,Monitor,North,1,3477,0.03,171.79,2024-02
ORD0185,2024-10-02,Pooja,Furniture,Bookcase,East,6,26040,0.0,3421.98,2024-10
ORD0186,2025-04-22,Gnaneswara,Technology,Mobile Phone,South,4,1292,0.24,147.83,2025-04
ORD0187,2025-06-02,Ananya,Office Supplies,Paper,North,5,4470,0.24,575.53,2025-06
ORD0188,2024-05-15,Ananya,Furniture,Sofa,East,8,38928,0.23,4468.07,2024-05
ORD0189,2024-09-10,shyam,Technology,Laptop,West,9,33966,0.2,1408.59,2024-09
ORD0190,2024-04-15,sravan,Technology,Printer,East,3,14472,0.14,1878.71,2024-04
ORD0191,2025-07-27,srujan,Office Supplies,Pen,North,7,6685,0.15,862.81,2025-07
ORD0192,2025-09-28,Gnaneswara,Furniture,Bookcase,East,8,15304,0.28,2442.99,2025-09
ORD0193,2025-09-02,sravan,Furniture,Chair,North,1,3508,0.03,229.5,2025-09
ORD0194,2024-01-27,manoj,Office Supplies,Paper,North,10,5680,0.27,533.82,2024-01
ORD0195,2024-05-15,Neha,Furniture,Bookcase,West,2,3350,0.21,629.01,2024-05
ORD0196,2025-02-17,Pooja,Furniture,Table,South,10,46240,0.25,3898.88,2025-02
ORD0197,2024-09-19,srujan,Furniture,Table,East,9,30321,0.06,5633.89,2024-09
ORD0198,2025-12-02,koushik,Office Supplies,Notebook,West,9,22419,0.16,3920.43,2025-12
ORD0199,2025-01-21,Pooja,Technology,Printer,West,8,15248,0.11,1942.05,2025-01
ORD0200,2024-03-21,shyam,Technology,Laptop,East,1,4986,0.24,578.12,2024-03
ORD0201,2024-07-23,sravan,Office Supplies,Stapler,North,4,5340,0.28,636.76,2024-07
ORD0202,2024-01-15,shyam,Office Supplies,Notebook,East,3,8283,0.27,1480.25,2024-01
ORD0203,2024-02-26,sravan,Office Supplies,Paper,North,7,26985,0.22,4720.15,2024-02
ORD0204,2025-05-19,Ananya,Office Supplies,Notebook,North,6,16950,0.04,3443.37,2025-05
ORD0205,2025-03-22,Pooja,Office Supplies,Stapler,West,3,6393,0.15,662.36,2025-03
ORD0206,2024-07-31,manoj,Technology,Keyboard,West,3,6411,0.08,958.94,2024-07
ORD0207,2025-01-25,Gnaneswara,Office Supplies,File Folder,North,2,5868,0.09,625.27,2025-01
ORD0208,2025-12-11,Neha,Office Supplies,Paper,South,4,2772,0.03,376.45,2025-12
ORD0209,2024-12-19,Gnaneswara,Furniture,Desk,East,9,39906,0.11,3905.75,2024-12
ORD0210,2024-03-21,manoj,Technology,Printer,South,1,2606,0.18,526.11,2024-03
ORD0211,2025-04-08,Pooja,Furniture,Sofa,West,8,880,0.19,108.49,2025-04
ORD0212,2024-06-09,srujan,Office Supplies,File Folder,West,6,14856,0.21,1589.16,2024-06
ORD0213,2025-03-24,Gnaneswara,Office Supplies,Notebook,East,8,21448,0.14,1833.82,2025-03
ORD0214,2024-08-26,shyam,Office Supplies,Notebook,West,3,7521,0.26,885.19,2024-08
ORD0215,2025-02-15,Gnaneswara,Furniture,Bookcase,South,2,3990,0.18,372.91,2025-02
ORD0216,2024-08-07,Ravi,Furniture,Bookcase,South,4,17840,0.15,2237.98,2024-08
ORD0217,2025-05-20,sravan,Office Supplies,Paper,South,6,19080,0.13,2853.0,2025-05
ORD0218,2024-12-13,Gnaneswara,Technology,Mobile Phone,North,6,10002,0.03,1406.02,2024-12
ORD0219,2025-07-04,koushik,Furniture,Bookcase,East,5,8200,0.06,1399.3,2025-07
ORD0220,2025-11-02,koushik,Furniture,Table,North,7,9674,0.24,445.64,2025-11
ORD0221,2024-10-06,koushik,Office Supplies,Stapler,West,6,4104,0.15,705.76,2024-10
ORD0222,2025-03-11,Neha,Technology,Keyboard,North,9,1242,0.11,121.57,2025-03
ORD0223,2025-05-05,shyam,Technology,Laptop,South,1,2153,0.2,423.23,2025-05
ORD0224,2025-09-19,koushik,Technology,Keyboard,South,2,5028,0.24,283.84,2025-09
ORD0225,2025-06-18,srujan,Technology,Keyboard,East,5,20955,0.28,1331.45,2025-06
ORD0226,2025-01-12,Pooja,Technology,Keyboard,East,3,8595,0.14,1212.16,2025-01
ORD0227,2025-05-27,shyam,Office Supplies,Pen,North,8,12696,0.11,1918.15,2025-05
ORD0228,2024-10-31,koushik,Office Supplies,Paper,West,8,14456,0.0,2615.22,2024-10
ORD0229,2025-07-27,sravan,Office Supplies,Stapler,North,3,2202,0.28,296.69,2025-07
ORD0230,2024-06-16,srujan,Furniture,Chair,East,7,14035,0.08,717.83,2024-06
ORD0231,2024-08-07,Ananya,Furniture,Table,North,10,48230,0.23,6400.41,2024-08
ORD0232,2025-06-05,srujan,Technology,Laptop,North,5,11105,0.03,2038.33,2025-06
ORD0233,2025-04-03,srujan,Furniture,Sofa,North,9,4608,0.28,669.8,2025-04
ORD0234,2024-11-21,Neha,Office Supplies,Pen,West,2,1840,0.0,456.6,2024-11
ORD0235,2025-11-10,Pooja,Office Supplies,Notebook,East,6,28116,0.13,2271.85,2025-11
ORD0236,2025-04-18,Pooja,Furniture,Bookcase,East,3,7938,0.19,1105.23,2025-04
ORD0237,2025-04-05,manoj,Office Supplies,Pen,East,6,21456,0.19,2631.28,2025-04
ORD0238,2024-03-17,Neha,Furniture,Bookcase,South,8,34784,0.29,5214.24,2024-03
ORD0239,2024-05-16,sravan,Furniture,Desk,South,8,2856,0.02,217.93,2024-05
ORD0240,2024-12-20,Ravi,Technology,Laptop,West,8,3912,0.24,471.31,2024-12
ORD0241,2025-11-07,Ravi,Technology,Laptop,South,3,4839,0.21,574.78,2025-11
ORD0242,2025-03-04,Ravi,Technology,Printer,South,5,14635,0.18,1422.68,2025-03
ORD0243,2024-07-15,koushik,Office Supplies,Notebook,West,2,6358,0.04,1449.19,2024-07
ORD0244,2025-02-06,Neha,Office Supplies,Paper,West,9,10638,0.01,1719.94,2025-02
ORD0245,2025-12-24,Gnaneswara,Technology,Monitor,North,2,5462,0.3,344.52,2025-12
ORD0246,2024-10-26,manoj,Furniture,Bookcase,West,7,7994,0.13,514.13,2024-10
ORD0247,2024-04-24,Ravi,Office Supplies,File Folder,East,4,19880,0.27,844.41,2024-04
ORD0248,2025-11-23,Ananya,Furniture,Desk,South,1,314,0.18,58.58,2025-11
ORD0249,2025-07-13,Pooja,Furniture,Sofa,West,7,11557,0.18,1496.22,2025-07
ORD0250,2024-11-27,sravan,Technology,Laptop,West,8,33336,0.1,6269.13,2024-11
ORD0251,2024-03-09,Ananya,Office Supplies,Pen,East,7,15344,0.03,3190.56,2024-03
ORD0252,2024-07-23,manoj,Office Supplies,Notebook,North,6,26292,0.18,4551.52,2024-07
ORD0253,2024-07-27,Ananya,Office Supplies,Pen,East,4,1432,0.2,274.07,2024-07
ORD0254,2024-11-09,manoj,Furniture,Chair,West,8,15960,0.02,3197.68,2024-11
ORD0255,2024-03-09,Pooja,Furniture,Bookcase,North,8,19592,0.19,3826.5,2024-03
ORD0256,2024-10-01,Gnaneswara,Furniture,Desk,West,9,8694,0.25,343.9,2024-10
ORD0257,2024-07-22,sravan,Furniture,Table,West,9,4104,0.23,372.71,2024-07
ORD0258,2024-08-24,Pooja,Furniture,Desk,East,3,9681,0.07,1961.15,2024-08
ORD0259,2025-02-14,sravan,Furniture,Table,North,8,3760,0.29,342.49,2025-02
ORD0260,2025-10-16,Ananya,Furniture,Bookcase,North,5,6880,0.02,1601.5,2025-10
ORD0261,2025-09-29,Pooja,Technology,Mobile Phone,East,4,16292,0.29,2130.45,2025-09
ORD0262,2024-06-26,Neha,Furniture,Chair,East,4,9776,0.28,887.64,2024-06
ORD0263,2025-11-10,shyam,Furniture,Bookcase,East,4,13768,0.13,780.03,2025-11
ORD0264,2024-04-19,koushik,Office Supplies,Stapler,North,2,548,0.07,86.63,2024-04
ORD0265,2024-06-22,koushik,Furniture,Sofa,West,7,30240,0.2,5755.36,2024-06
ORD0266,2025-09-29,Ravi,Furniture,Chair,West,4,476,0.13,51.41,2025-09
ORD0267,2024-01-17,Gnaneswara,Office Supplies,Paper,South,2,3546,0.11,685.05,2024-01
ORD0268,2024-07-18,srujan,Office Supplies,Stapler,South,6,16950,0.03,1205.38,2024-07
ORD0269,2024-02-04,Ananya,Technology,Laptop,East,6,8784,0.04,550.41,2024-02
ORD0270,2025-03-11,Ravi,Technology,Mobile Phone,West,9,35397,0.26,6480.35,2025-03
ORD0271,2025-05-24,Ravi,Office Supplies,File Folder,East,2,8414,0.17,682.39,2025-05
ORD0272,2024-02-25,sravan,Furniture,Desk,South,2,290,0.1,49.92,2024-02
ORD0273,2025-09-20,sravan,Furniture,Sofa,East,2,5468,0.22,546.89,2025-09
ORD0274,2024-12-10,Ananya,Technology,Keyboard,North,5,20090,0.18,3528.25,2024-12
ORD0275,2025-06-12,sravan,Technology,Keyboard,East,3,8040,0.21,1547.22,2025-06
ORD0276,2024-01-27,Neha,Furniture,Table,West,5,12060,0.03,1092.44,2024-01
ORD0277,2025-06-29,sravan,Office Supplies,Pen,East,6,20010,0.18,1253.62,2025-06
ORD0278,2025-07-22,shyam,Furniture,Sofa,North,7,30975,0.14,2131.42,2025-07
ORD0279,2025-01-03,sravan,Technology,Mobile Phone,East,9,23427,0.25,1433.1,2025-01
ORD0280,2024-02-13,shyam,Technology,Keyboard,South,6,3744,0.26,413.54,2024-02
ORD0281,2025-07-23,Ravi,Technology,Mobile Phone,East,2,6732,0.24,425.34,2025-07
ORD0282,2024-03-06,koushik,Furniture,Sofa,South,8,33384,0.21,5432.36,2024-03
ORD0283,2025-07-21,Gnaneswara,Furniture,Table,East,8,7560,0.02,1551.13,2025-07
ORD0284,2025-10-03,sravan,Furniture,Desk,South,6,29550,0.01,7218.03,2025-10
ORD0285,2024-06-22,Neha,Technology,Laptop,South,7,21154,0.09,1791.26,2024-06
ORD0286,2024-02-02,shyam,Office Supplies,Stapler,South,9,33840,0.13,6481.25,2024-02
